gap_dates,site_id
8/18/2018,b9ad1c9b-fbe2-f36f-ab2a-6894c251433f
8/19/2018,b9ad1c9b-fbe2-f36f-ab2a-6894c251433f
8/20/2018,b9ad1c9b-fbe2-f36f-ab2a-6894c251433f
8/25/2018,b9ad1c9b-fbe2-f36f-ab2a-6894c251433f
8/26/2018,b9ad1c9b-fbe2-f36f-ab2a-6894c251433f
8/27/2018,b9ad1c9b-fbe2-f36f-ab2a-6894c251433f
7/6/2018,c388dd30-eaeb-dcfe-f76e-e2e6ebf83ce1
7/7/2018,c388dd30-eaeb-dcfe-f76e-e2e6ebf83ce1
7/6/2018,5fe94934-6a5f-af51-9794-5b881e7adf19
7/7/2018,5fe94934-6a5f-af51-9794-5b881e7adf19
8/18/2018,6f245a0a-eff7-e9fe-bb95-8d0270a775cf
8/19/2018,6f245a0a-eff7-e9fe-bb95-8d0270a775cf
8/20/2018,6f245a0a-eff7-e9fe-bb95-8d0270a775cf
8/25/2018,6f245a0a-eff7-e9fe-bb95-8d0270a775cf
8/26/2018,6f245a0a-eff7-e9fe-bb95-8d0270a775cf
8/27/2018,6f245a0a-eff7-e9fe-bb95-8d0270a775cf
7/6/2018,35d54699-97cc-50f2-6d5c-5d50607e9631
7/7/2018,35d54699-97cc-50f2-6d5c-5d50607e9631
8/18/2018,a31524b6-60b5-5928-887b-263b5cb59c23
8/19/2018,a31524b6-60b5-5928-887b-263b5cb59c23
8/20/2018,a31524b6-60b5-5928-887b-263b5cb59c23
8/25/2018,a31524b6-60b5-5928-887b-263b5cb59c23
8/26/2018,a31524b6-60b5-5928-887b-263b5cb59c23
8/27/2018,a31524b6-60b5-5928-887b-263b5cb59c23
7/6/2018,fb203000-0b6e-e587-0168-25b53c60a153
7/7/2018,fb203000-0b6e-e587-0168-25b53c60a153
7/6/2018,0644edc0-0417-d12c-b3cb-505bc2e3e258
7/7/2018,0644edc0-0417-d12c-b3cb-505bc2e3e258
7/6/2018,adeeddca-5043-9a55-278a-db8b50518baa
7/7/2018,adeeddca-5043-9a55-278a-db8b50518baa
7/6/2018,97a1a970-21c0-c946-f82b-e1b58b530cc3
7/7/2018,97a1a970-21c0-c946-f82b-e1b58b530cc3
8/18/2018,e1936d00-255f-5073-fe4a-c0db2543150e
8/19/2018,e1936d00-255f-5073-fe4a-c0db2543150e
8/20/2018,e1936d00-255f-5073-fe4a-c0db2543150e
8/25/2018,e1936d00-255f-5073-fe4a-c0db2543150e
8/26/2018,e1936d00-255f-5073-fe4a-c0db2543150e
8/27/2018,e1936d00-255f-5073-fe4a-c0db2543150e
4/27/2018,dbea811b-92f8-4e35-432c-9a7d19680a6d
7/6/2018,dbea811b-92f8-4e35-432c-9a7d19680a6d
7/7/2018,dbea811b-92f8-4e35-432c-9a7d19680a6d
8/18/2018,678558e3-3fd0-d054-e17f-f0defcb52c12
8/19/2018,678558e3-3fd0-d054-e17f-f0defcb52c12
8/20/2018,678558e3-3fd0-d054-e17f-f0defcb52c12
8/25/2018,678558e3-3fd0-d054-e17f-f0defcb52c12
8/26/2018,678558e3-3fd0-d054-e17f-f0defcb52c12
8/27/2018,678558e3-3fd0-d054-e17f-f0defcb52c12
8/11/2018,c1cb8652-f39a-189e-25cf-7d6313a9b01f
8/12/2018,c1cb8652-f39a-189e-25cf-7d6313a9b01f
8/13/2018,c1cb8652-f39a-189e-25cf-7d6313a9b01f
8/18/2018,c1cb8652-f39a-189e-25cf-7d6313a9b01f
8/19/2018,c1cb8652-f39a-189e-25cf-7d6313a9b01f
8/20/2018,c1cb8652-f39a-189e-25cf-7d6313a9b01f
8/11/2018,7b59d921-c882-0ca0-7f89-fb8d60362225
8/12/2018,7b59d921-c882-0ca0-7f89-fb8d60362225
8/13/2018,7b59d921-c882-0ca0-7f89-fb8d60362225
8/18/2018,7b59d921-c882-0ca0-7f89-fb8d60362225
8/19/2018,7b59d921-c882-0ca0-7f89-fb8d60362225
8/20/2018,7b59d921-c882-0ca0-7f89-fb8d60362225
11/5/2017,09473fb0-9258-71fa-827b-fabb32404ca6
8/18/2018,dc4820b0-76dc-93b1-2f7a-9fa2c5d5c6a8
8/19/2018,dc4820b0-76dc-93b1-2f7a-9fa2c5d5c6a8
8/20/2018,dc4820b0-76dc-93b1-2f7a-9fa2c5d5c6a8
8/25/2018,dc4820b0-76dc-93b1-2f7a-9fa2c5d5c6a8
8/26/2018,dc4820b0-76dc-93b1-2f7a-9fa2c5d5c6a8
8/27/2018,dc4820b0-76dc-93b1-2f7a-9fa2c5d5c6a8
8/18/2018,d7de778a-833f-c75e-df25-dadcaea87332
8/19/2018,d7de778a-833f-c75e-df25-dadcaea87332
8/20/2018,d7de778a-833f-c75e-df25-dadcaea87332
8/25/2018,d7de778a-833f-c75e-df25-dadcaea87332
8/26/2018,d7de778a-833f-c75e-df25-dadcaea87332
8/27/2018,d7de778a-833f-c75e-df25-dadcaea87332
11/5/2017,fa1e6d9b-9562-02aa-0a4a-3f08fdf1c960
11/5/2017,92ee232b-db76-9552-baee-7a276d7beda5
8/18/2018,d342df32-ed32-cb36-edd3-345e2feab911
8/19/2018,d342df32-ed32-cb36-edd3-345e2feab911
8/20/2018,d342df32-ed32-cb36-edd3-345e2feab911
8/25/2018,d342df32-ed32-cb36-edd3-345e2feab911
8/26/2018,d342df32-ed32-cb36-edd3-345e2feab911
8/27/2018,d342df32-ed32-cb36-edd3-345e2feab911
8/18/2018,7beee54b-ea35-d1d2-c01f-1869a880773a
8/19/2018,7beee54b-ea35-d1d2-c01f-1869a880773a
8/20/2018,7beee54b-ea35-d1d2-c01f-1869a880773a
8/25/2018,7beee54b-ea35-d1d2-c01f-1869a880773a
8/26/2018,7beee54b-ea35-d1d2-c01f-1869a880773a
8/27/2018,7beee54b-ea35-d1d2-c01f-1869a880773a
8/18/2018,f4cfaa89-53bb-3d30-c887-0b022b313e7a
8/19/2018,f4cfaa89-53bb-3d30-c887-0b022b313e7a
8/20/2018,f4cfaa89-53bb-3d30-c887-0b022b313e7a
8/25/2018,f4cfaa89-53bb-3d30-c887-0b022b313e7a
8/26/2018,f4cfaa89-53bb-3d30-c887-0b022b313e7a
8/27/2018,f4cfaa89-53bb-3d30-c887-0b022b313e7a
7/6/2018,28c08889-a891-54e1-6b6c-bf685b9ee343
7/7/2018,28c08889-a891-54e1-6b6c-bf685b9ee343
11/5/2017,a8a44573-c3c1-c4d4-c0bb-03bb7ecddace
8/18/2018,8c0761fe-dba5-158c-e5be-bb8aa0f6d07a
8/19/2018,8c0761fe-dba5-158c-e5be-bb8aa0f6d07a
8/20/2018,8c0761fe-dba5-158c-e5be-bb8aa0f6d07a
8/25/2018,8c0761fe-dba5-158c-e5be-bb8aa0f6d07a
8/26/2018,8c0761fe-dba5-158c-e5be-bb8aa0f6d07a
8/27/2018,8c0761fe-dba5-158c-e5be-bb8aa0f6d07a
7/6/2018,3121fc1f-2063-24b7-114d-051f0e3e2cdf
7/7/2018,3121fc1f-2063-24b7-114d-051f0e3e2cdf
8/18/2018,22cb331d-848f-b8ad-53da-cf16fd4dc49a
8/19/2018,22cb331d-848f-b8ad-53da-cf16fd4dc49a
8/20/2018,22cb331d-848f-b8ad-53da-cf16fd4dc49a
8/25/2018,22cb331d-848f-b8ad-53da-cf16fd4dc49a
8/26/2018,22cb331d-848f-b8ad-53da-cf16fd4dc49a
8/27/2018,22cb331d-848f-b8ad-53da-cf16fd4dc49a
8/18/2018,2dfc25b7-004e-72e8-b4b1-852d2fd2242e
8/19/2018,2dfc25b7-004e-72e8-b4b1-852d2fd2242e
8/20/2018,2dfc25b7-004e-72e8-b4b1-852d2fd2242e
8/25/2018,2dfc25b7-004e-72e8-b4b1-852d2fd2242e
8/26/2018,2dfc25b7-004e-72e8-b4b1-852d2fd2242e
8/27/2018,2dfc25b7-004e-72e8-b4b1-852d2fd2242e
7/6/2018,8dc748b2-5f31-e7b9-c1e1-2174f9637a12
7/7/2018,8dc748b2-5f31-e7b9-c1e1-2174f9637a12
11/5/2017,628c0db4-db3e-14b8-48c8-a59cc0589a2b
8/18/2018,fe6451c9-63c7-b774-496c-9ce8ba6d01af
8/19/2018,fe6451c9-63c7-b774-496c-9ce8ba6d01af
8/20/2018,fe6451c9-63c7-b774-496c-9ce8ba6d01af
8/25/2018,fe6451c9-63c7-b774-496c-9ce8ba6d01af
8/26/2018,fe6451c9-63c7-b774-496c-9ce8ba6d01af
8/27/2018,fe6451c9-63c7-b774-496c-9ce8ba6d01af
8/18/2018,3798bec0-bb4f-e581-d9e4-8741c99af207
8/19/2018,3798bec0-bb4f-e581-d9e4-8741c99af207
8/20/2018,3798bec0-bb4f-e581-d9e4-8741c99af207
8/25/2018,3798bec0-bb4f-e581-d9e4-8741c99af207
8/26/2018,3798bec0-bb4f-e581-d9e4-8741c99af207
8/27/2018,3798bec0-bb4f-e581-d9e4-8741c99af207
7/6/2018,38ad629b-c319-1371-b46c-ccbbda6b22d9
7/7/2018,38ad629b-c319-1371-b46c-ccbbda6b22d9
5/17/2017,d416c8b2-2830-af5a-6862-a79df1d9a392
7/6/2018,d416c8b2-2830-af5a-6862-a79df1d9a392
7/7/2018,d416c8b2-2830-af5a-6862-a79df1d9a392
11/5/2017,782480db-18b5-6727-b8c6-5a492b2153f8
8/18/2018,fa27bfb9-9b3e-ace1-bb88-5b95e56f16ba
8/19/2018,fa27bfb9-9b3e-ace1-bb88-5b95e56f16ba
8/20/2018,fa27bfb9-9b3e-ace1-bb88-5b95e56f16ba
8/25/2018,fa27bfb9-9b3e-ace1-bb88-5b95e56f16ba
8/26/2018,fa27bfb9-9b3e-ace1-bb88-5b95e56f16ba
8/27/2018,fa27bfb9-9b3e-ace1-bb88-5b95e56f16ba
7/6/2018,5d965a76-b72f-6dc7-165f-531184c27ea9
7/7/2018,5d965a76-b72f-6dc7-165f-531184c27ea9
8/18/2018,f8d4dfa0-e065-be62-96c0-02e7792268fd
8/19/2018,f8d4dfa0-e065-be62-96c0-02e7792268fd
8/20/2018,f8d4dfa0-e065-be62-96c0-02e7792268fd
8/25/2018,f8d4dfa0-e065-be62-96c0-02e7792268fd
8/26/2018,f8d4dfa0-e065-be62-96c0-02e7792268fd
8/27/2018,f8d4dfa0-e065-be62-96c0-02e7792268fd
7/6/2018,5f10fb10-ef38-c5a1-10c4-7ae824cf2932
7/7/2018,5f10fb10-ef38-c5a1-10c4-7ae824cf2932
8/14/2018,5f10fb10-ef38-c5a1-10c4-7ae824cf2932
7/6/2018,fbba4fe0-ad9b-ec46-575c-c22ff0a20186
7/7/2018,fbba4fe0-ad9b-ec46-575c-c22ff0a20186
8/25/2018,fbba4fe0-ad9b-ec46-575c-c22ff0a20186
8/26/2018,fbba4fe0-ad9b-ec46-575c-c22ff0a20186
8/27/2018,fbba4fe0-ad9b-ec46-575c-c22ff0a20186
7/6/2018,c25074ec-d72c-f37c-b123-8140a125ed6d
7/7/2018,c25074ec-d72c-f37c-b123-8140a125ed6d
7/6/2018,1c82b217-174d-63af-01b2-2e0d35c85cd2
7/7/2018,1c82b217-174d-63af-01b2-2e0d35c85cd2
8/11/2018,4549a7e8-4082-a14b-222c-0b3f854d53be
8/12/2018,4549a7e8-4082-a14b-222c-0b3f854d53be
8/13/2018,4549a7e8-4082-a14b-222c-0b3f854d53be
8/18/2018,4549a7e8-4082-a14b-222c-0b3f854d53be
8/19/2018,4549a7e8-4082-a14b-222c-0b3f854d53be
8/20/2018,4549a7e8-4082-a14b-222c-0b3f854d53be
11/5/2017,481f0202-e3f4-47e8-ce19-b84b5114407a
11/29/2017,fc17f9a3-bbf8-5533-ff3e-d3697d614f92
7/6/2018,fc17f9a3-bbf8-5533-ff3e-d3697d614f92
7/7/2018,fc17f9a3-bbf8-5533-ff3e-d3697d614f92
