year,month,all,residential,commercial,industrial
2001,8,1064,168,857,39
2002,8,1117,264,828,25
2003,8,1076,216,839,21
2004,8,1137,218,895,24
2005,8,1202,221,960,21
2006,8,970,203,746,21
2007,8,1154,222,909,23
2008,8,1047,207,820,20
2009,8,1136,225,892,19
2010,8,1138,237,883,18
2011,8,1059,240,802,17
2012,8,1100,242,839,19
2013,8,1076,228,830,18
2014,8,965,192,756,17
2015,8,1042,236,789,17
2016,8,1119,286,822,11
2017,8,1007,243,751,13
2018,8,1065,266,783,16
