year,month,all,residential,commercial,industrial
2001,7,945,193,729,23
2002,7,1001,154,826,21
2003,7,1082,212,848,22
2004,7,1133,201,901,31
2005,7,1208,227,954,27
2006,7,1005,209,775,21
2007,7,1154,215,913,26
2008,7,1167,236,908,23
2009,7,1069,197,853,19
2010,7,1182,281,882,19
2011,7,1220,272,929,19
2012,7,1184,264,902,18
2013,7,1138,245,870,23
2014,7,1078,226,833,19
2015,7,1092,274,799,19
2016,7,1096,265,794,37
2017,7,1078,288,770,20
2018,7,1075,263,794,18
2019,7,1097,300,780,17
